Batch_ID,Job_ID,Workstation_ID,Machine_ID,Start_Time,End_Time,Setup_Time,Setup_Cost,Waiting_Time
J4_B195,4,4,1,60967.1241821712,61069.8280499814,0.6752101101196661,1.0128151651794992,144.22874043078627
J1_B78,1,0,0,56461.06014952674,56610.31604789097,0.3235190877837617,0.48527863167564256,55537.7560533191
J1_B78,1,1,0,56629.55017532205,56764.434452668705,9.234127431080275,13.851191146620412,0.0
J1_B78,1,2,0,56781.93649187447,56961.39537500196,7.5020392057608305,11.253058808641246,0.0
J1_B78,1,3,0,62779.668012075235,62920.961664956274,4.745458643929976,7.118187965894965,5803.527178429351
J1_B78,1,4,0,65036.61706620556,65259.54112679923,0.6752101101196661,1.0128151651794992,2104.9801911391623
J4_B14,4,0,1,48909.9913748085,49101.48659125871,0.0,0.0,47857.98385479007
J4_B14,4,1,0,56779.831545362315,56952.64267415209,15.39709269360787,23.095639040411804,7652.9478614099935
J4_B14,4,2,1,56979.09621139897,57208.88405191898,16.453537246879407,24.68030587031911,0.0
J4_B14,4,3,0,62925.7071236002,63105.4898837498,4.745458643929976,7.118187965894965,5702.077613037291
J4_B14,4,4,0,65260.216336909354,65465.62407252975,0.6752101101196661,1.0128151651794992,2144.0512430494346
J5_B294,5,0,0,56610.63956697875,56712.8003925071,0.3235190877837617,0.48527863167564256,56013.19294214008
J5_B294,5,1,0,56961.876801583174,57014.03886207815,9.234127431080275,13.851191146620412,229.84228164498927
J5_B294,5,2,2,60488.65087871191,60612.26817978553,6.923229193287661,10.384843789931491,3457.688787440471
J5_B294,5,3,1,60816.040180553864,60963.896733488735,3.819948923572631,5.729923385358946,189.95205184476072
J5_B294,5,4,1,61085.76956853724,61181.4019136054,15.941518555840272,23.912277833760406,95.93131649266434
J1_B3,1,0,1,49117.587007802606,49266.842906166836,16.100416543892642,24.150624815838963,48178.50601413885
J1_B3,1,1,1,49292.239998860445,49427.1242762071,15.39709269360787,23.095639040411804,0.0
J1_B3,1,2,2,60619.19140897882,60798.65029210631,6.923229193287661,10.384843789931491,11175.143903578435
J1_B3,1,3,1,60967.716682412305,61109.010335293344,3.819948923572631,5.729923385358946,155.2464413824273
J1_B3,1,4,1,61197.34343216124,61420.26749275491,15.941518555840272,23.912277833760406,62.39157831205375
J4_B97,4,0,1,49282.94332271073,49474.43853916094,16.100416543892642,24.150624815838963,48214.83538614841
J4_B97,4,1,1,49499.83563185455,49672.646760644326,15.39709269360787,23.095639040411804,0.0
J4_B97,4,2,2,60806.15233131207,61035.94017183208,7.5020392057608305,11.253058808641246,11116.003531461982
J4_B97,4,3,1,61113.75579393727,61293.53855408687,4.745458643929976,7.118187965894965,63.07016346126329
J4_B97,4,4,1,61420.94270286503,61626.350438485424,0.6752101101196661,1.0128151651794992,116.72893866804225
J1_B150,1,0,1,49490.53895570483,49639.79485406906,16.100416543892642,24.150624815838963,48551.45796204108
J1_B150,1,1,1,49688.043853337935,49822.92813068459,15.39709269360787,23.095639040411804,22.851906575262547
J1_B150,1,2,2,61043.442211037844,61222.90109416533,7.5020392057608305,11.253058808641246,11203.012041147493
J1_B150,1,3,1,61298.28401273079,61439.57766561183,4.745458643929976,7.118187965894965,60.63745992153417
J1_B150,1,4,1,61627.02564859555,61849.94970918922,0.6752101101196661,1.0128151651794992,176.77277287359175
J4_B80,4,0,1,49655.89527061296,49847.39048706317,16.100416543892642,24.150624815838963,48587.787334050634
J4_B80,4,1,1,49872.787579756776,50045.59870854655,15.39709269360787,23.095639040411804,0.0
J4_B80,4,2,1,57208.88405191898,57438.67189243899,0.0,0.0,7153.28534337243
J4_B80,4,3,1,61444.32312425576,61624.105884405355,4.745458643929976,7.118187965894965,3990.905773172839
J4_B80,4,4,1,61850.62491929934,62056.032654919734,0.6752101101196661,1.0128151651794992,215.84382478386397
